URN: ,incidentdate: ,incidentcategory: ,producttype: ,productorigincountry: ,notifiertype: 
ICID00034371,04/04/2019,Residues of Veterinary Medicinal Products,Poultry Meat & Poultry Meat Products,Belgium (BE),RASFF
ICID00034372,04/04/2019,Clandestine Detection,Fruits & Vegetables,France (FR),Home Office / Border Force
ICID00034373,04/04/2019,Pesticide Residues,Fruits & Vegetables,Kenya (KE),Border Inspection Posts (BIPs)
ICID00034374,04/04/2019,Allergens,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Industry
ICID00034375,05/04/2019,Foreign Bodies,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00034376,05/04/2019,Allergens,Ices & Desserts,United Kingdom (GB),Industry
ICID00034377,05/04/2019,Pesticide Residues,Fruits & Vegetables,Uganda (UG),Port Health Authority (PHA)
ICID00034378,05/04/2019,Foreign Bodies,Confectionery,Bulgaria (BG),Local Authority
ICID00034379,05/04/2019,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Port Health Authority (PHA)
ICID00034380,05/04/2019,Clandestine Detection,Herbs & Spices,France (FR),Home Office / Border Force
ICID00034381,05/04/2019,Heavy Metals,Cocoa / Cocoa Preparations / Coffee / Tea ,Peru (PE),Other
ICID00034382,05/04/2019,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF
ICID00034383,05/04/2019,Clandestine Detection,Cocoa / Cocoa Preparations / Coffee / Tea,France (FR),Home Office / Border Force
ICID00034384,05/04/2019,Biocontaminants,Milk & Milk Products,United Kingdom (GB),Local Authority
ICID00034385,05/04/2019,Food Additives & Flavourings,Alcoholic Beverages,Belgium (BE),Administrative Assistance & Cooperation System (AAC)
ICID00034386,06/04/2019,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00034387,07/04/2019,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00034388,07/04/2019,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00034389,08/04/2019,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00034390,08/04/2019,Adulteration / Fraud,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00034391,08/04/2019,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00034392,08/04/2019,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00034393,08/04/2019,CHEMET,N/A,United Kingdom (GB),Local Authority
ICID00034394,08/04/2019,Composition,Compound Feeds,Lithuania (LT),RASFF
ICID00034395,08/04/2019,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,Islamic Republic of Iran (IR),Border Inspection Posts (BIPs)
ICID00034396,08/04/2019,Adulteration / Fraud,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),Local Authority
ICID00034397,09/04/2019,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00034398,09/04/2019,Pesticide Residues,Fruits & Vegetables,Kenya (KE),Border Inspection Posts (BIPs)
ICID00034399,09/04/2019,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00034400,09/04/2019,Allergens,Confectionery,United Kingdom (GB),Industry
ICID00034401,09/04/2019,Foreign Bodies,Cereals & Bakery Products,United Kingdom (GB),Industry
ICID00034402,09/04/2019,Clandestine Detection,Confectionery,Czech Republic (CZ),Home Office / Border Force
ICID00034403,09/04/2019,Clandestine Detection,Cocoa / Cocoa Preparations / Coffee / Tea,France (FR),Home Office / Border Force
ICID00034404,10/04/2019,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00034405,10/04/2019,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00034406,10/04/2019,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00034407,10/04/2019,Labelling Absent / Incomplete / Incorrect,Milk & Milk Products,Poland (PL),Local Authority
ICID00034408,10/04/2019,Allergens,Alcoholic Beverages,United Kingdom (GB),Local Authority
ICID00034409,10/04/2019,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00034410,11/04/2019,Allergens,Dietetic Foods / Food Supplements / Fortified Foods,Ireland (IE),Local Authority
ICID00034411,10/04/2019,Allergens,Dietetic Foods / Food Supplements / Fortified Foods,Canada (CA),Local Authority
ICID00034412,11/04/2019,Pesticide Residues,Cereals & Bakery Products,Pakistan (PK),Border Inspection Posts (BIPs)
ICID00034413,11/04/2019,Allergens,Meat & Meat Products (other than poultry),Germany (DE),Local Authority
ICID00034414,11/04/2019,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00034415,11/04/2019,Allergens,Cereals & Bakery Products,United Kingdom (GB),Local Authority
ICID00034416,11/04/2019,Mycotoxins,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00034417,11/04/2019,Labelling Absent / Incomplete / Incorrect,Pet Food,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00034418,11/04/2019,Clandestine Detection,Other Food Product / Mixed,Belgium (BE),Home Office / Border Force
ICID00034419,11/04/2019,Labelling Absent / Incomplete / Incorrect,Milk & Milk Products,France (FR),Local Authority
ICID00034420,11/04/2019,Poor or Insufficient Controls,Dietetic Foods / Food Supplements / Fortified Foods,United Kingdom (GB),RASFF
ICID00034421,11/04/2019,Industrial Contaminants,Cereals & Bakery Products,United Kingdom (GB),General Public
ICID00034422,11/04/2019,Biotoxins (other),Bivalve Molluscs & Products Thereof,United Kingdom (GB),Other
ICID00034423,11/04/2019,Pathogenic Micro-Organisms,Pet Food,United Kingdom (GB),Local Authority
ICID00034424,11/04/2019,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),Industry
ICID00034425,10/04/2019,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Lithuania (LT),Local Authority
ICID00034426,11/04/2019,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00034427,12/04/2019,Allergens,Confectionery,Denmark (DK),Industry
ICID00034428,12/04/2019,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00034429,12/04/2019,Allergens,Herbs & Spices,United Kingdom (GB),Industry
ICID00034430,12/04/2019,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00034431,12/04/2019,Clandestine Detection,Fruits & Vegetables,France (FR),Home Office / Border Force
ICID00034432,11/04/2019,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),EU Member States
ICID00034433,12/04/2019,Pesticide Residues,Fruits & Vegetables,United Kingdom (GB),Local Authority
ICID00034434,12/04/2019,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00034435,12/04/2019,Pathogenic Micro-Organisms,Fruits & Vegetables,United Kingdom (GB),Local Authority
ICID00034436,12/04/2019,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00034437,12/04/2019,Non-Pathogenic Micro-Organisims,Fruits & Vegetables,China (CX),Local Authority
ICID00034438,12/04/2019,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF
ICID00034439,15/04/2019,Clandestine Detection,Confectionery,Romania (RO),Home Office / Border Force
ICID00034440,15/04/2019,Chemical Contamination (other),Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00034441,15/04/2019,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00034442,15/04/2019,Poor or Insufficient Controls,Fish & Fish Products,South Africa (ZA),Border Inspection Posts (BIPs)
ICID00034443,15/04/2019,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Brazil (BR),Border Inspection Posts (BIPs)
ICID00034444,15/04/2019,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),FSA Operations Group
ICID00034445,15/04/2019,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),National Food Crime Unit (NFCU)
ICID00034446,15/04/2019,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00034447,16/04/2019,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00034448,16/04/2019,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods ,United Kingdom (GB),Industry
ICID00034449,16/04/2019,Feed Additives,Fats & Oils,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00034450,16/04/2019,Novel Food,Fats & Oils,Spain (ES),RASFF
ICID00034451,16/04/2019,Mycotoxins,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00034452,16/04/2019,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Local Authority
ICID00034453,17/04/2019,Composition,Honey & Royal Jelly,New Zealand (NZ),Border Inspection Posts (BIPs)
ICID00034454,17/04/2019,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00034455,17/04/2019,Pesticide Residues,Fruits & Vegetables,Kenya (KE),Port Health Authority (PHA)
ICID00034456,17/04/2019,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Food Standards Scotland (FSS)
ICID00034458,17/04/2019,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00034459,17/04/2019,Mycotoxins,Nuts / Nut Products / Seeds,Nigeria (NG),Port Health Authority (PHA)
ICID00034460,17/04/2019,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00034461,16/04/2019,Adulteration / Fraud,Prepared Dishes & Snacks,United Kingdom (GB),National Food Crime Unit (NFCU)
ICID00034462,17/04/2019,Poor or Insufficient Controls,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00034463,17/04/2019,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00034464,17/04/2019,Food Additives & Flavourings,Fats & Oils,Nigeria (NG),RASFF
ICID00034465,17/04/2019,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00034466,17/04/2019,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00034467,18/04/2019,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00034468,18/04/2019,Chemical Contamination (other),Cereals & Bakery Products,United Kingdom (GB),Industry
ICID00034469,18/04/2019,Allergens,Confectionery,United Kingdom (GB),Local Authority
ICID00034470,18/04/2019,Allergens,Soups / Broths / Sauces & Condiments,United Kingdom (GB),Local Authority
ICID00034471,18/04/2019,Foreign Bodies,Meat & Meat Products (other than poultry),Argentina (AR),RASFF
ICID00034472,18/04/2019,Foreign Bodies,Confectionery,Ukraine (UA),European Commission (EC)
ICID00034473,18/04/2019,Pathogenic Micro-Organisms,Nuts / Nut Products / Seeds,United States (US),EU Member States
ICID00034474,18/04/2019,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00034475,18/04/2019,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00034476,18/04/2019,Allergens,Confectionery,Netherlands (NL),Industry
ICID00034477,20/04/2019,Pathogenic Micro-Organisms,Confectionery,United States (US),Industry
ICID00034478,21/04/2019,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00034479,21/04/2019,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00034480,22/04/2019,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00034481,23/04/2019,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00034482,23/04/2019,Pesticide Residues,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00034483,19/04/2019,Feed Additives,Pet Food,United Kingdom (GB),EU Member States
ICID00034484,23/04/2019,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00034485,23/04/2019,Heavy Metals,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00034486,23/04/2019,Chemical Contamination (other),Meat & Meat Products (other than poultry),Poland (PL),RASFF
ICID00034487,23/04/2019,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00034488,23/04/2019,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00034489,24/04/2019,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00034490,24/04/2019,Migration,Soups / Broths / Sauces & Condiments,Ireland (IE),EU Member States
ICID00034491,24/04/2019,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Port Health Authority (PHA)
ICID00034492,24/04/2019,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00034493,24/04/2019,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Port Health Authority (PHA)
ICID00034494,24/04/2019,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00034496,24/04/2019,Allergens,Meat & Meat Products (other than poultry),United Kingdom (GB),FSA Operations Group
ICID00034497,24/04/2019,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00034498,24/04/2019,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00034499,25/04/2019,Pesticide Residues,Fruits & Vegetables,Dominican Republic (DO),Border Inspection Posts (BIPs)
ICID00034500,17/04/2019,Heavy Metals,Feed Additives,Germany (DE),Industry
ICID00034501,25/04/2019,Pathogenic Micro-Organisms,Confectionery,United Kingdom (GB),Industry
ICID00034502,25/04/2019,Clandestine Detection,Fruits & Vegetables,Italy (IT),Met Office
ICID00034503,25/04/2019,Labelling Absent / Incomplete / Incorrect,Alcoholic Beverages,United Kingdom (GB),Industry
ICID00034504,25/04/2019,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00034505,26/04/2019,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00034506,26/04/2019,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00034507,26/04/2019,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Department of Agriculture & Rural Development (DARD)
ICID00034508,26/04/2019,Foreign Bodies,Confectionery,United Kingdom (GB),EU Member States
ICID00034509,26/04/2019,Feed Additives,Pet Food,United Kingdom (GB),Administrative Assistance & Cooperation System (AAC)
ICID00034510,26/04/2019,Labelling Absent / Incomplete / Incorrect,Fruits & Vegetables,Egypt (EG),Administrative Assistance & Cooperation System (AAC)
ICID00034511,24/04/2019,Pesticide Residues,Fruits & Vegetables,India (IN),Port Health Authority (PHA)
ICID00034512,26/04/2019,Pathogenic Micro-Organisms,Nuts / Nut Products / Seeds,Spain (ES),RASFF
ICID00034513,26/04/2019,Allergens,Herbs & Spices,South Africa (ZA),Local Authority
ICID00034514,25/04/2019,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs)
ICID00034515,26/04/2019,Allergens,Confectionery,United Kingdom (GB),Food Standards Scotland (FSS)
ICID00034516,26/04/2019,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Veterinary Medicines Directorate
ICID00034517,26/04/2019,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF
ICID00034518,27/04/2019,CHEMET,N/A,United Kingdom (GB),Environment Agency (EA)
ICID00034519,26/04/2019,Feed Additives,Feed Materials,United Kingdom (GB),Other
ICID00034520,26/04/2019,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force
ICID00034521,29/04/2019,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00034522,29/04/2019,Chemical Contamination (other),Nuts / Nut Products / Seeds,Uzbekistan (UZ),Port Health Authority (PHA)
ICID00034523,29/04/2019,Pesticide Residues,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal & Plant Health Agency (APHA)
ICID00034524,26/04/2019,Clandestine Detection,Cereals & Bakery Products,Serbia (RS),Home Office / Border Force
ICID00034525,29/04/2019,Pesticide Residues,Fruits & Vegetables,Kenya (KE),Port Health Authority (PHA)
ICID00034526,29/04/2019,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),Industry
ICID00034527,30/04/2019,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),FSA England
ICID00034528,30/04/2019,Food Additives & Flavourings,Fruits & Vegetables,Lebanon (LB),Border Inspection Posts (BIPs)
ICID00034529,30/04/2019,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00034530,30/04/2019,Foreign Bodies,Fruits & Vegetables,Italy (IT),Food Standards Scotland (FSS)
ICID00034531,30/04/2019,Clandestine Detection,Milk & Milk Products,Bulgaria (BG),Home Office / Border Force
ICID00034532,30/04/2019,Composition,Fats & Oils,Togo (TO),RASFF
ICID00034533,30/04/2019,Foreign Bodies,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00034534,30/04/2019,Mycotoxins,Nuts / Nut Products / Seeds,Argentina (AR),RASFF
ICID00034536,30/04/2019,Foreign Bodies,Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00034537,30/04/2019,Allergens,Alcoholic Beverages,United States (US),RASFF
ICID00034538,10/04/2019,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,France (FR),Industry
ICID00034539,30/04/2019,CHEMET,N/A,United Kingdom (GB),Met Office
ICID00034639,28/04/2019,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Local Authority
ICID00034776,24/04/2019,Food Additives & Flavourings,Cereals & Bakery Products,United States (US),Third Country
