UniqueReferenceNumber(URN) ,IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType
ICID00030031,2017-06-16,Poor or Insufficient Controls,Herbs & Spices,Ethiopia (ET),Border Inspection Posts (BIPs)
ICID00030032,2017-06-17,Pesticide Residues,Nuts / Nut Products / Seeds,Nigeria (NG),Border Inspection Posts (BIPs)
ICID00030033,2017-06-17,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00030034,2017-06-17,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030035,2017-06-19,Poor or Insufficient Controls,Non-Alcoholic Beverages ,Germany (DE),Border Inspection Posts (BIPs)
ICID00030036,2017-06-19,Poor or Insufficient Controls,Cereals & Bakery Products,India (IN),Border Inspection Posts (BIPs)
ICID00030037,2017-06-19,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Industry
ICID00030038,2017-06-19,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),France (FR),Local Authority
ICID00030039,2017-06-19,Pathogenic Micro-Organisms,Feed Materials,United Kingdom (GB),Industry
ICID00030040,2017-06-19,Heavy Metals,Meat & Meat Products (other than poultry),United Kingdom (GB),Animal and Plant Health Agency (APHA)
ICID00030041,2017-06-20,Novel Food ,Dietetic Food / Food Supplements / Fortified Foods,United Kingdom (GB),European Commission (EC)
ICID00030042,2017-06-20,Pathogenic Micro-Organisms,Herbs & Spices,United Kingdom (GB),RASFF
ICID00030043,2017-06-20,Pathogenic Micro-Organisms,Herbs & Spices,United Kingdom (GB),RASFF
ICID00030044,2017-06-20,Pesticide Residues,Fruits & Vegetables,Kenya (KE),Border Inspection Posts (BIPs)
ICID00030045,2017-06-20,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),United Kingdom (GB),Local Authority
ICID00030046,2017-06-20,Poor or Insufficient Controls,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00030047,2017-06-20,Pathogenic Micro-Organisms,Feed Materials,Brazil (BR),RASFF
ICID00030048,2017-06-20,Clandestine Detection,Fruit & Vegetables,Spain (ES),Home Office / Border Force
ICID00030049,2017-06-20,Food Additives & Flavourings,Confectionairy,Malaysia (MY),Local Authority
ICID00030050,2017-06-20,Pesticide Residues,Fruits & Vegetables,Nigeria (NG),Border Inspection Posts (BIPs)
ICID00030051,2017-06-20,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030052,2017-06-21,Clandestine Detection,Confectionery ,France (FR),Border Inspection Posts (BIPs)
ICID00030053,2017-06-20,Food Additives & Flavourings,Non-Alcoholic Beverages ,Netherlands (NL),Local Authority
ICID00030054,2017-06-19,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030055,2017-06-21,Allergens,Fruit & Vegetables,Belgium,Local Authority
ICID00030056,2017-06-21,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030057,2017-06-21,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030058,2017-06-21,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030059,2017-06-21,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030060,2017-06-21,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030061,2017-06-21,Pathogenic Micro-Organisms,Dietetic Food / Food Supplements / Fortified Foods,United States (US),Third Country
ICID00030062,2017-06-21,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030063,2017-06-21,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030064,2017-06-21,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030065,2017-06-21,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030066,2017-06-21,Foreign Bodies,Cereals & Bakery Products,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00030067,2017-06-22,Pesticide Residues,Fruit & Vegetables,Benin (BJ),Border Inspection Posts (BIPs)
ICID00030068,2017-06-22,Mycotoxins,Herbs & Spices,United Kingdom (GB),RASFF
ICID00030069,2017-06-22,Chemical Contamination (other),Water,United Kingdom (GB),Food Standards Scotland (FSS)
ICID00030070,2017-06-22,Clandestine Detection,Cereals & Bakery Products,France (FR),Home Office / Border Force
ICID00030071,2017-06-14,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030072,2017-06-22,Clandestine Detection,Fruits & Vegetables,Spain (ES),Police
ICID00030073,2017-06-23,Mycotoxins,Cereals & Bakery Products,Poland (PL),RASFF
ICID00030074,2017-06-23,Pathogenic Micro-Organisms,Fish & Fish Products,United Kingdom (GB),Local Authority
ICID00030075,2017-06-23,Biotoxins (other),Fish & Fish Products,India (IN),Local Authority
ICID00030076,2017-06-23,Heavy Metals,Fish & Fish Products,Taiwan (TW),Local Authority
ICID00030077,2017-06-23,Poor or Insufficient Controls,Non-Alcoholic Beverages ,France (FR),Border Inspection Posts (BIPs)
ICID00030078,2017-06-23,Poor or Insufficient Controls,Prepared Dishes & Snacks,India (IN) ,Local Authority
ICID00030079,2017-06-23,Pesticide Residues,Nuts / Nut Products / Seeds,Turkey (TR),Border Inspection Posts (BIPs)
ICID00030080,2017-06-23,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030081,2017-06-23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030082,2017-06-23,Heavy Metals,Dietetic Food / Food Supplements / Fortified Foods,India (IN),Local Authority
ICID00030083,2017-06-23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030084,2017-06-23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00030085,2017-06-23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030086,2017-06-23,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030087,2017-06-24,Clandestine Detection,Fruit & Vegetables,Turkey (TR),Border Inspection Posts (BIPs)
ICID00030088,2017-06-24,Pathogenic Micro-Organisms,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00030089,2017-06-24,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030090,2017-06-25,Clandestine Detection,Fruit & Vegetables,Spain (ES),Home Office / Border Force
ICID00030091,2017-06-25,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030092,2017-06-26,CHEMET,N/A,United Kingdom (GB),Fire Services
ICID00030093,2017-06-23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00030094,2017-06-26,Poor or Insufficient Controls,Fruit & Vegetables,Nigeria (NG),Port Health Authority (PHA)
ICID00030095,2017-06-26,Poor or Insufficient Controls,Prepared Dishes & Snacks,China (CX),Local Authority
ICID00030096,2017-06-26,Mycotoxins,Fish & Fish Products,Taiwan (TW),Border Inspection Posts (BIPs)
ICID00030097,2017-06-26,Pathogenic Micro-Organisms,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00030098,2017-06-26,Labelling Absent / Incomplete / Incorrect,Alcoholic Beverages,Spain (ES),Local Authority
ICID00030099,2017-06-26,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),Industry
ICID00030100,2017-06-26,Allergens,Confectionary,United Kingdom (GB),Local Authority
ICID00030101,2017-06-27,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00030102,2017-06-27,Allergens,Prepared Dishes & Snacks,United Kingdom (GB),Industry
ICID00030103,2017-06-27,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),Industry
ICID00030104,2017-06-27,Foreign Bodies,Other Food Product / Mixed,United Kingdom (GB),Industry
ICID00030105,2017-06-27,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),Local Authority
ICID00030106,2017-06-27,Poor or Insufficient Controls,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00030107,2017-06-27,Poor or Insufficient Controls,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00030108,2017-06-27,Poor or Insufficient Controls,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00030109,2017-06-27,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF
ICID00030110,2017-06-26,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00030111,2017-06-28,Chemical Contamination (other),Fats & Oils,United Kingdom (GB),RASFF
ICID00030112,2017-06-28,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030113,2017-06-28,Residues of Veterinary Medicinal Products,Meat & Meat Products (other than poultry),United Kingdom (GB),Public Analyst / Laboratory
ICID00030114,2017-06-28,Migration,Food Contact Materials,China (CX),RASFF
ICID00030115,2017-06-28,Pathogenic Micro-Organisms,Feed Materials,United Kingdom (GB),Industry
ICID00030116,2017-06-28,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs)
ICID00030117,2017-06-28,Pathogenic Micro-Organisms,Ices & Desserts,United Kingdom (GB),FSA Communications
ICID00030118,2017-06-28,Pathogenic Micro-Organisms,Herbs & Spices,India (IN),Local Authority
ICID00030120,2017-06-29,Pathogenic Micro-Organisms,Milk & Milk Products,United Kingdom (GB),Industry
ICID00030121,2017-06-29,Allergens,Soups /  Broths / Sauces & Condiments,United Kingdom (GB),Industry
ICID00030122,2017-06-28,Composition,Dietetic Food / Food Supplements / Fortified Foods,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00030123,2017-06-28,Composition,Dietetic Food / Food Supplements / Fortified Foods,United Kingdom (GB),Administrative Assistance and Cooperation System (AAC) 
ICID00030124,2017-06-29,Composition,Dietetic Food / Food Supplements / Fortified Foods,United States (US),RASFF
ICID00030125,2017-06-29,Chemical Contamination (other),Fish & Fish Products,India (IN),RASFF
ICID00030126,2017-06-29,Pathogenic Micro-Organisms,Fruit & Vegetables,France (FR),Local Authority
ICID00030127,2017-06-30,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Belgium (BE),RASFF
ICID00030128,2017-06-30,Poor or Insufficient Controls,Herbs & Spices,India (IN),Border Inspection Posts (BIPs)
ICID00030129,2017-06-30,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Belgium (BE),RASFF
ICID00030130,2017-06-28,Poor or Insufficient Controls,Other Food Product / Mixed,United Kingdom (GB),General Public
ICID00030131,2017-06-29,Allergens,Confectionery,Denmark (DK),Local Authority
ICID00030132,2017-06-30,Pathogenic Micro-Organisms,Herbs & Spices,India (IN),Local Authority
ICID00030222,2017-06-14,Poor or Insufficient Controls,Other Food Product / Mixed,United Kingdom (GB),General Public
